uniqueid,bank_account
uniqueid_6574 x Kenya,Yes
uniqueid_7402 x Kenya,No
uniqueid_6436 x Kenya,No
uniqueid_6435 x Kenya,No
uniqueid_6779 x Kenya,Yes
uniqueid_6427 x Kenya,No
uniqueid_7622 x Kenya,Yes
uniqueid_6423 x Kenya,No
uniqueid_7177 x Kenya,No
uniqueid_6406 x Kenya,Yes
uniqueid_6398 x Kenya,Yes
uniqueid_8034 x Kenya,No
uniqueid_8378 x Kenya,No
uniqueid_6785 x Kenya,Yes
uniqueid_7912 x Kenya,No
uniqueid_6390 x Kenya,No
uniqueid_6388 x Kenya,No
uniqueid_6787 x Kenya,No
uniqueid_7318 x Kenya,No
uniqueid_6380 x Kenya,No
uniqueid_8619 x Kenya,No
uniqueid_6788 x Kenya,No
uniqueid_7484 x Kenya,No
uniqueid_6802 x Kenya,No
uniqueid_8617 x Kenya,No
uniqueid_6362 x Kenya,Yes
uniqueid_7901 x Kenya,No
uniqueid_6379 x Kenya,Yes
uniqueid_6353 x Kenya,No
uniqueid_7344 x Kenya,No
uniqueid_7720 x Kenya,No
uniqueid_6340 x Kenya,Yes
uniqueid_6369 x Kenya,Yes
uniqueid_7612 x Kenya,Yes
uniqueid_6254 x Kenya,No
uniqueid_6136 x Kenya,Yes
uniqueid_7760 x Kenya,Yes
uniqueid_8578 x Kenya,Yes
uniqueid_7137 x Kenya,Yes
uniqueid_7811 x Kenya,No
uniqueid_6321 x Kenya,No
uniqueid_6319 x Kenya,No
uniqueid_6318 x Kenya,No
uniqueid_8314 x Kenya,No
uniqueid_6314 x Kenya,Yes
uniqueid_8108 x Kenya,No
uniqueid_8202 x Kenya,No
uniqueid_6310 x Kenya,No
uniqueid_6308 x Kenya,No
uniqueid_6300 x Kenya,No
uniqueid_6299 x Kenya,Yes
uniqueid_7277 x Kenya,No
uniqueid_6074 x Kenya,No
uniqueid_7732 x Kenya,No
uniqueid_7982 x Kenya,No
uniqueid_8339 x Kenya,No
uniqueid_6991 x Kenya,Yes
uniqueid_6800 x Kenya,No
uniqueid_6085 x Kenya,No
uniqueid_7805 x Kenya,No
uniqueid_6097 x Kenya,No
uniqueid_8370 x Kenya,Yes
uniqueid_6801 x Kenya,No
uniqueid_7875 x Kenya,Yes
uniqueid_6279 x Kenya,Yes
uniqueid_8116 x Kenya,No
uniqueid_7835 x Kenya,Yes
uniqueid_8200 x Kenya,No
uniqueid_7093 x Kenya,Yes
uniqueid_6977 x Kenya,Yes
uniqueid_6804 x Kenya,Yes
uniqueid_6253 x Kenya,No
uniqueid_7772 x Kenya,No
uniqueid_6243 x Kenya,No
uniqueid_7675 x Kenya,No
uniqueid_6241 x Kenya,Yes
uniqueid_6239 x Kenya,No
uniqueid_8186 x Kenya,No
uniqueid_6226 x Kenya,Yes
uniqueid_6221 x Kenya,No
uniqueid_8141 x Kenya,Yes
uniqueid_6213 x Kenya,Yes
uniqueid_6210 x Kenya,No
uniqueid_6208 x Kenya,Yes
uniqueid_8511 x Kenya,Yes
uniqueid_6203 x Kenya,No
uniqueid_8422 x Kenya,No
uniqueid_8400 x Kenya,No
uniqueid_6886 x Kenya,No
uniqueid_6767 x Kenya,No
uniqueid_6877 x Kenya,No
uniqueid_6137 x Kenya,No
uniqueid_6413 x Kenya,Yes
uniqueid_6187 x Kenya,Yes
uniqueid_6672 x Kenya,Yes
uniqueid_6511 x Kenya,No
uniqueid_7155 x Kenya,No
uniqueid_6125 x Kenya,Yes
uniqueid_6173 x Kenya,Yes
uniqueid_7198 x Kenya,No
uniqueid_6163 x Kenya,No
uniqueid_6162 x Kenya,Yes
uniqueid_6773 x Kenya,No
uniqueid_7691 x Kenya,No
uniqueid_8162 x Kenya,Yes
uniqueid_6496 x Kenya,No
uniqueid_6824 x Kenya,Yes
uniqueid_6147 x Kenya,No
uniqueid_7814 x Kenya,Yes
uniqueid_6145 x Kenya,No
uniqueid_8518 x Kenya,No
uniqueid_6141 x Kenya,Yes
uniqueid_6138 x Kenya,No
uniqueid_8144 x Kenya,No
uniqueid_6454 x Kenya,Yes
uniqueid_6133 x Kenya,Yes
uniqueid_6132 x Kenya,Yes
uniqueid_6131 x Kenya,Yes
uniqueid_8154 x Kenya,No
uniqueid_6827 x Kenya,No
uniqueid_7228 x Kenya,Yes
uniqueid_6950 x Kenya,Yes
uniqueid_6313 x Kenya,No
uniqueid_6526 x Kenya,Yes
uniqueid_7320 x Kenya,Yes
uniqueid_8137 x Kenya,No
uniqueid_7080 x Kenya,No
uniqueid_6101 x Kenya,Yes
uniqueid_8467 x Kenya,No
uniqueid_8222 x Kenya,No
uniqueid_6691 x Kenya,No
uniqueid_7040 x Kenya,No
uniqueid_7132 x Kenya,No
uniqueid_6626 x Kenya,No
uniqueid_7694 x Kenya,No
uniqueid_8150 x Kenya,No
uniqueid_8452 x Kenya,Yes
uniqueid_8010 x Kenya,No
uniqueid_8529 x Kenya,Yes
uniqueid_6418 x Kenya,No
uniqueid_7718 x Kenya,No
uniqueid_6361 x Kenya,No
uniqueid_7592 x Kenya,No
uniqueid_6687 x Kenya,No
uniqueid_7583 x Kenya,No
uniqueid_6471 x Kenya,No
uniqueid_8100 x Kenya,No
uniqueid_7849 x Kenya,No
uniqueid_6366 x Kenya,No
uniqueid_6479 x Kenya,No
uniqueid_7019 x Kenya,No
uniqueid_6817 x Kenya,Yes
uniqueid_7430 x Kenya,No
uniqueid_6127 x Kenya,No
uniqueid_7382 x Kenya,No
uniqueid_6111 x Kenya,No
uniqueid_6683 x Kenya,Yes
uniqueid_6283 x Kenya,No
uniqueid_8129 x Kenya,Yes
uniqueid_6992 x Kenya,No
uniqueid_6285 x Kenya,No
uniqueid_7608 x Kenya,No
uniqueid_8165 x Kenya,No
uniqueid_8451 x Kenya,Yes
uniqueid_6402 x Kenya,No
uniqueid_6926 x Kenya,Yes
uniqueid_6572 x Kenya,Yes
uniqueid_8347 x Kenya,No
uniqueid_8590 x Kenya,No
uniqueid_7246 x Kenya,Yes
uniqueid_6848 x Kenya,No
uniqueid_8322 x Kenya,No
uniqueid_7560 x Kenya,No
uniqueid_8040 x Kenya,No
uniqueid_7856 x Kenya,No
uniqueid_6918 x Kenya,No
uniqueid_8138 x Kenya,No
uniqueid_8366 x Kenya,Yes
uniqueid_6617 x Kenya,No
uniqueid_6367 x Kenya,No
uniqueid_6636 x Kenya,No
uniqueid_6338 x Kenya,No
uniqueid_7513 x Kenya,Yes
uniqueid_7056 x Kenya,No
uniqueid_6392 x Kenya,No
uniqueid_7656 x Kenya,Yes
uniqueid_8259 x Kenya,No
uniqueid_6083 x Kenya,No
uniqueid_6269 x Kenya,No
uniqueid_6859 x Kenya,No
uniqueid_6579 x Kenya,No
uniqueid_8356 x Kenya,No
uniqueid_7584 x Kenya,No
uniqueid_6077 x Kenya,Yes
uniqueid_6782 x Kenya,No
uniqueid_7010 x Kenya,No
uniqueid_6929 x Kenya,No
uniqueid_8273 x Kenya,No
uniqueid_8485 x Kenya,No
uniqueid_7839 x Kenya,No
uniqueid_6668 x Kenya,No
uniqueid_8135 x Kenya,No
uniqueid_8035 x Kenya,Yes
uniqueid_8182 x Kenya,Yes
uniqueid_7201 x Kenya,No
uniqueid_7106 x Kenya,Yes
uniqueid_6287 x Kenya,Yes
uniqueid_8342 x Kenya,No
uniqueid_8086 x Kenya,No
uniqueid_6635 x Kenya,No
uniqueid_6871 x Kenya,No
uniqueid_7917 x Kenya,No
uniqueid_6874 x Kenya,No
uniqueid_6649 x Kenya,No
uniqueid_7451 x Kenya,No
uniqueid_7679 x Kenya,Yes
uniqueid_7085 x Kenya,No
uniqueid_7593 x Kenya,No
uniqueid_8230 x Kenya,No
uniqueid_6456 x Kenya,No
uniqueid_6882 x Kenya,No
uniqueid_7283 x Kenya,No
uniqueid_7840 x Kenya,No
uniqueid_7166 x Kenya,No
uniqueid_6494 x Kenya,No
uniqueid_6451 x Kenya,No
uniqueid_7288 x Kenya,No
uniqueid_6885 x Kenya,No
uniqueid_6556 x Kenya,No
uniqueid_8211 x Kenya,No
uniqueid_6592 x Kenya,No
uniqueid_6887 x Kenya,Yes
uniqueid_7031 x Kenya,Yes
uniqueid_6151 x Kenya,No
uniqueid_7058 x Kenya,No
uniqueid_6280 x Kenya,No
uniqueid_8665 x Kenya,No
uniqueid_6399 x Kenya,Yes
uniqueid_7048 x Kenya,Yes
uniqueid_8023 x Kenya,No
uniqueid_7129 x Kenya,Yes
uniqueid_6858 x Kenya,Yes
uniqueid_7754 x Kenya,No
uniqueid_6938 x Kenya,No
uniqueid_7183 x Kenya,Yes
uniqueid_6072 x Kenya,Yes
uniqueid_8231 x Kenya,Yes
uniqueid_7232 x Kenya,No
uniqueid_8419 x Kenya,No
uniqueid_6896 x Kenya,No
uniqueid_6898 x Kenya,No
uniqueid_8159 x Kenya,No
uniqueid_8025 x Kenya,No
uniqueid_6225 x Kenya,Yes
uniqueid_8033 x Kenya,No
uniqueid_7389 x Kenya,No
uniqueid_8079 x Kenya,No
uniqueid_7947 x Kenya,Yes
uniqueid_8340 x Kenya,Yes
uniqueid_6188 x Kenya,No
uniqueid_6958 x Kenya,Yes
uniqueid_6893 x Kenya,Yes
uniqueid_8012 x Kenya,No
uniqueid_7878 x Kenya,No
uniqueid_7861 x Kenya,No
uniqueid_7049 x Kenya,No
uniqueid_8626 x Kenya,Yes
uniqueid_6812 x Kenya,No
uniqueid_7514 x Kenya,No
uniqueid_6424 x Kenya,No
uniqueid_6431 x Kenya,Yes
uniqueid_7139 x Kenya,No
uniqueid_6209 x Kenya,No
uniqueid_6295 x Kenya,No
uniqueid_7834 x Kenya,No
uniqueid_6895 x Kenya,Yes
uniqueid_7736 x Kenya,Yes
uniqueid_6606 x Kenya,No
uniqueid_6180 x Kenya,Yes
uniqueid_6437 x Kenya,Yes
uniqueid_8482 x Kenya,No
uniqueid_6919 x Kenya,No
uniqueid_7601 x Kenya,Yes
uniqueid_7200 x Kenya,No
uniqueid_7516 x Kenya,Yes
uniqueid_8310 x Kenya,No
uniqueid_7830 x Kenya,No
uniqueid_7068 x Kenya,No
uniqueid_6535 x Kenya,No
uniqueid_6332 x Kenya,No
uniqueid_6312 x Kenya,Yes
uniqueid_6814 x Kenya,Yes
uniqueid_6758 x Kenya,No
uniqueid_7393 x Kenya,No
uniqueid_7342 x Kenya,No
uniqueid_6836 x Kenya,No
uniqueid_8346 x Kenya,No
uniqueid_6417 x Kenya,No
uniqueid_6945 x Kenya,Yes
uniqueid_7063 x Kenya,No
uniqueid_6307 x Kenya,No
uniqueid_6762 x Kenya,No
uniqueid_7640 x Kenya,Yes
uniqueid_7765 x Kenya,No
uniqueid_6937 x Kenya,Yes
uniqueid_7671 x Kenya,Yes
uniqueid_7436 x Kenya,No
uniqueid_6692 x Kenya,Yes
uniqueid_7890 x Kenya,No
uniqueid_8056 x Kenya,Yes
uniqueid_6472 x Kenya,Yes
uniqueid_8031 x Kenya,No
uniqueid_8376 x Kenya,No
uniqueid_6160 x Kenya,No
uniqueid_6316 x Kenya,No
uniqueid_6605 x Kenya,No
uniqueid_8574 x Kenya,Yes
uniqueid_7241 x Kenya,No
uniqueid_8329 x Kenya,Yes
uniqueid_8666 x Kenya,No
uniqueid_7306 x Kenya,No
uniqueid_8212 x Kenya,No
uniqueid_8571 x Kenya,No
uniqueid_7570 x Kenya,No
uniqueid_7286 x Kenya,Yes
uniqueid_6301 x Kenya,Yes
uniqueid_6289 x Kenya,No
uniqueid_8491 x Kenya,Yes
uniqueid_8317 x Kenya,Yes
uniqueid_8003 x Kenya,No
uniqueid_7985 x Kenya,Yes
uniqueid_8297 x Kenya,No
uniqueid_6810 x Kenya,No
uniqueid_6120 x Kenya,No
uniqueid_8007 x Kenya,No
uniqueid_6421 x Kenya,No
uniqueid_6446 x Kenya,Yes
uniqueid_6329 x Kenya,Yes
uniqueid_7351 x Kenya,No
uniqueid_6698 x Kenya,No
uniqueid_8183 x Kenya,No
uniqueid_7396 x Kenya,Yes
uniqueid_8026 x Kenya,Yes
uniqueid_6076 x Kenya,No
uniqueid_7244 x Kenya,No
uniqueid_8203 x Kenya,No
uniqueid_6923 x Kenya,Yes
uniqueid_8015 x Kenya,No
uniqueid_6968 x Kenya,No
uniqueid_6970 x Kenya,No
uniqueid_6971 x Kenya,No
uniqueid_8053 x Kenya,Yes
uniqueid_6252 x Kenya,No
uniqueid_7892 x Kenya,Yes
uniqueid_8008 x Kenya,Yes
uniqueid_6930 x Kenya,Yes
uniqueid_7820 x Kenya,No
uniqueid_6197 x Kenya,No
uniqueid_7677 x Kenya,No
uniqueid_8244 x Kenya,No
uniqueid_8030 x Kenya,No
uniqueid_7630 x Kenya,Yes
uniqueid_8237 x Kenya,No
uniqueid_6335 x Kenya,Yes
uniqueid_6126 x Kenya,No
uniqueid_6696 x Kenya,No
uniqueid_7371 x Kenya,No
uniqueid_6259 x Kenya,Yes
uniqueid_7692 x Kenya,No
uniqueid_6979 x Kenya,No
uniqueid_7411 x Kenya,No
uniqueid_7525 x Kenya,No
uniqueid_7566 x Kenya,No
uniqueid_7799 x Kenya,No
uniqueid_6983 x Kenya,No
uniqueid_6600 x Kenya,No
uniqueid_6789 x Kenya,Yes
uniqueid_7737 x Kenya,No
uniqueid_6200 x Kenya,Yes
uniqueid_7660 x Kenya,No
uniqueid_6459 x Kenya,Yes
uniqueid_6912 x Kenya,No
uniqueid_6438 x Kenya,No
uniqueid_7424 x Kenya,No
uniqueid_8361 x Kenya,No
uniqueid_8484 x Kenya,No
uniqueid_8427 x Kenya,Yes
uniqueid_8046 x Kenya,No
uniqueid_6857 x Kenya,No
uniqueid_7450 x Kenya,Yes
uniqueid_6383 x Kenya,Yes
uniqueid_8041 x Kenya,No
uniqueid_6890 x Kenya,No
uniqueid_8607 x Kenya,Yes
uniqueid_7437 x Kenya,No
uniqueid_6936 x Kenya,No
uniqueid_8087 x Kenya,No
uniqueid_7489 x Kenya,No
uniqueid_6909 x Kenya,No
uniqueid_6175 x Kenya,No
uniqueid_8106 x Kenya,No
uniqueid_7845 x Kenya,No
uniqueid_7746 x Kenya,No
uniqueid_6532 x Kenya,No
uniqueid_8379 x Kenya,No
uniqueid_7868 x Kenya,No
uniqueid_7773 x Kenya,No
uniqueid_7481 x Kenya,Yes
uniqueid_8265 x Kenya,Yes
uniqueid_7823 x Kenya,Yes
uniqueid_8472 x Kenya,No
uniqueid_6976 x Kenya,No
uniqueid_7585 x Kenya,No
uniqueid_7793 x Kenya,No
uniqueid_8538 x Kenya,No
uniqueid_8348 x Kenya,Yes
uniqueid_6891 x Kenya,No
uniqueid_7508 x Kenya,No
uniqueid_8592 x Kenya,Yes
uniqueid_6082 x Kenya,No
uniqueid_6630 x Kenya,No
uniqueid_6833 x Kenya,No
uniqueid_7884 x Kenya,No
uniqueid_7900 x Kenya,Yes
uniqueid_7011 x Kenya,No
uniqueid_8185 x Kenya,No
uniqueid_7918 x Kenya,No
uniqueid_6947 x Kenya,Yes
uniqueid_7388 x Kenya,No
uniqueid_6461 x Kenya,Yes
uniqueid_8380 x Kenya,Yes
uniqueid_8149 x Kenya,No
uniqueid_6685 x Kenya,No
uniqueid_8043 x Kenya,Yes
uniqueid_8335 x Kenya,Yes
uniqueid_6650 x Kenya,No
uniqueid_6716 x Kenya,Yes
uniqueid_7150 x Kenya,No
uniqueid_7372 x Kenya,No
uniqueid_6531 x Kenya,No
uniqueid_6343 x Kenya,Yes
uniqueid_8032 x Kenya,Yes
uniqueid_6522 x Kenya,Yes
uniqueid_6865 x Kenya,No
uniqueid_7027 x Kenya,No
uniqueid_7904 x Kenya,No
uniqueid_7752 x Kenya,No
uniqueid_7741 x Kenya,No
uniqueid_6959 x Kenya,Yes
uniqueid_6742 x Kenya,No
uniqueid_7029 x Kenya,No
uniqueid_7073 x Kenya,No
uniqueid_8559 x Kenya,No
uniqueid_6148 x Kenya,No
uniqueid_7032 x Kenya,Yes
uniqueid_8392 x Kenya,No
uniqueid_6473 x Kenya,No
uniqueid_6612 x Kenya,No
uniqueid_7792 x Kenya,Yes
uniqueid_7043 x Kenya,Yes
uniqueid_6620 x Kenya,No
uniqueid_8158 x Kenya,No
uniqueid_8092 x Kenya,No
uniqueid_8532 x Kenya,No
uniqueid_6580 x Kenya,No
uniqueid_6980 x Kenya,No
uniqueid_6661 x Kenya,Yes
uniqueid_7872 x Kenya,No
uniqueid_7274 x Kenya,No
uniqueid_7051 x Kenya,No
uniqueid_6981 x Kenya,No
uniqueid_8151 x Kenya,No
uniqueid_7506 x Kenya,Yes
uniqueid_8662 x Kenya,No
uniqueid_7829 x Kenya,No
uniqueid_7871 x Kenya,Yes
uniqueid_8286 x Kenya,Yes
uniqueid_8390 x Kenya,No
uniqueid_8181 x Kenya,No
uniqueid_8664 x Kenya,No
uniqueid_6086 x Kenya,Yes
uniqueid_6450 x Kenya,No
uniqueid_6743 x Kenya,Yes
uniqueid_7716 x Kenya,No
uniqueid_6952 x Kenya,No
uniqueid_7401 x Kenya,No
uniqueid_8303 x Kenya,Yes
uniqueid_6860 x Kenya,Yes
uniqueid_8145 x Kenya,No
uniqueid_8632 x Kenya,Yes
uniqueid_7744 x Kenya,Yes
uniqueid_8156 x Kenya,No
uniqueid_7067 x Kenya,Yes
uniqueid_6324 x Kenya,No
uniqueid_7410 x Kenya,No
uniqueid_6530 x Kenya,Yes
uniqueid_6578 x Kenya,Yes
uniqueid_7457 x Kenya,No
uniqueid_7517 x Kenya,Yes
uniqueid_8094 x Kenya,No
uniqueid_7075 x Kenya,No
uniqueid_7599 x Kenya,Yes
uniqueid_6588 x Kenya,No
uniqueid_6832 x Kenya,Yes
uniqueid_6223 x Kenya,No
uniqueid_6944 x Kenya,No
uniqueid_6921 x Kenya,No
uniqueid_6954 x Kenya,Yes
uniqueid_7626 x Kenya,No
uniqueid_7222 x Kenya,Yes
uniqueid_8190 x Kenya,No
uniqueid_7575 x Kenya,No
uniqueid_7598 x Kenya,No
uniqueid_7492 x Kenya,No
uniqueid_7930 x Kenya,No
uniqueid_7669 x Kenya,Yes
uniqueid_7536 x Kenya,No
uniqueid_6462 x Kenya,Yes
uniqueid_7398 x Kenya,No
uniqueid_6104 x Kenya,No
uniqueid_6400 x Kenya,No
uniqueid_7240 x Kenya,No
uniqueid_7095 x Kenya,No
uniqueid_6075 x Kenya,No
uniqueid_8483 x Kenya,Yes
uniqueid_8093 x Kenya,No
uniqueid_8431 x Kenya,No
uniqueid_8502 x Kenya,Yes
uniqueid_8223 x Kenya,No
uniqueid_8447 x Kenya,No
uniqueid_7480 x Kenya,No
uniqueid_6195 x Kenya,Yes
uniqueid_6577 x Kenya,No
uniqueid_8534 x Kenya,No
uniqueid_8251 x Kenya,No
uniqueid_6449 x Kenya,No
uniqueid_7941 x Kenya,No
uniqueid_6401 x Kenya,No
uniqueid_6652 x Kenya,No
uniqueid_6276 x Kenya,No
uniqueid_8442 x Kenya,Yes
uniqueid_7467 x Kenya,No
uniqueid_7107 x Kenya,No
uniqueid_8279 x Kenya,No
uniqueid_6420 x Kenya,No
uniqueid_7466 x Kenya,No
uniqueid_7969 x Kenya,Yes
uniqueid_7678 x Kenya,Yes
uniqueid_7664 x Kenya,Yes
uniqueid_6464 x Kenya,Yes
uniqueid_8566 x Kenya,No
uniqueid_7670 x Kenya,Yes
uniqueid_7115 x Kenya,No
uniqueid_6118 x Kenya,No
uniqueid_7330 x Kenya,No
uniqueid_6883 x Kenya,No
uniqueid_6713 x Kenya,No
uniqueid_6091 x Kenya,No
uniqueid_7739 x Kenya,No
uniqueid_7682 x Kenya,No
uniqueid_8586 x Kenya,No
uniqueid_6709 x Kenya,No
uniqueid_6846 x Kenya,No
uniqueid_7042 x Kenya,No
uniqueid_7217 x Kenya,No
uniqueid_6763 x Kenya,No
uniqueid_8593 x Kenya,No
uniqueid_8564 x Kenya,No
uniqueid_8334 x Kenya,No
uniqueid_6079 x Kenya,Yes
uniqueid_6492 x Kenya,No
uniqueid_6408 x Kenya,Yes
uniqueid_8460 x Kenya,No
uniqueid_7134 x Kenya,No
uniqueid_7034 x Kenya,No
uniqueid_7893 x Kenya,Yes
uniqueid_6966 x Kenya,No
uniqueid_7138 x Kenya,Yes
uniqueid_6955 x Kenya,Yes
uniqueid_7366 x Kenya,No
uniqueid_7937 x Kenya,No
uniqueid_7981 x Kenya,No
uniqueid_7355 x Kenya,No
uniqueid_6905 x Kenya,No
uniqueid_6870 x Kenya,Yes
uniqueid_6615 x Kenya,Yes
uniqueid_8077 x Kenya,No
uniqueid_7923 x Kenya,No
uniqueid_8549 x Kenya,No
uniqueid_7165 x Kenya,No
uniqueid_7030 x Kenya,No
uniqueid_7142 x Kenya,No
uniqueid_6092 x Kenya,No
uniqueid_7582 x Kenya,No
uniqueid_7832 x Kenya,Yes
uniqueid_7507 x Kenya,No
uniqueid_7911 x Kenya,Yes
uniqueid_7018 x Kenya,No
uniqueid_7082 x Kenya,No
uniqueid_8022 x Kenya,No
uniqueid_6270 x Kenya,Yes
uniqueid_7791 x Kenya,Yes
uniqueid_7779 x Kenya,Yes
uniqueid_7116 x Kenya,No
uniqueid_7596 x Kenya,Yes
uniqueid_8293 x Kenya,No
uniqueid_8487 x Kenya,No
uniqueid_6770 x Kenya,No
uniqueid_7207 x Kenya,No
uniqueid_6433 x Kenya,Yes
uniqueid_8567 x Kenya,No
uniqueid_6986 x Kenya,No
uniqueid_6913 x Kenya,Yes
uniqueid_8055 x Kenya,No
uniqueid_6387 x Kenya,No
uniqueid_7269 x Kenya,No
uniqueid_6956 x Kenya,Yes
uniqueid_6365 x Kenya,Yes
uniqueid_7474 x Kenya,Yes
uniqueid_7841 x Kenya,No
uniqueid_8001 x Kenya,No
uniqueid_7999 x Kenya,No
uniqueid_6508 x Kenya,No
uniqueid_6667 x Kenya,No
uniqueid_6455 x Kenya,No
uniqueid_7168 x Kenya,No
uniqueid_8112 x Kenya,Yes
uniqueid_6935 x Kenya,Yes
uniqueid_7235 x Kenya,No
uniqueid_7094 x Kenya,Yes
uniqueid_8468 x Kenya,No
uniqueid_7045 x Kenya,No
uniqueid_6602 x Kenya,No
uniqueid_8637 x Kenya,No
uniqueid_6777 x Kenya,Yes
uniqueid_7629 x Kenya,No
uniqueid_8338 x Kenya,Yes
uniqueid_7851 x Kenya,Yes
uniqueid_7722 x Kenya,No
uniqueid_6527 x Kenya,No
uniqueid_8450 x Kenya,No
uniqueid_7178 x Kenya,No
uniqueid_6534 x Kenya,No
uniqueid_8019 x Kenya,No
uniqueid_6660 x Kenya,No
uniqueid_7181 x Kenya,Yes
uniqueid_6765 x Kenya,Yes
uniqueid_8278 x Kenya,Yes
uniqueid_6384 x Kenya,No
uniqueid_8634 x Kenya,No
uniqueid_7185 x Kenya,Yes
uniqueid_7186 x Kenya,Yes
uniqueid_7188 x Kenya,No
uniqueid_6818 x Kenya,No
uniqueid_8194 x Kenya,No
uniqueid_7659 x Kenya,No
uniqueid_7761 x Kenya,No
uniqueid_7195 x Kenya,Yes
uniqueid_7653 x Kenya,Yes
uniqueid_7163 x Kenya,No
uniqueid_7297 x Kenya,Yes
uniqueid_7991 x Kenya,No
uniqueid_7113 x Kenya,No
uniqueid_8166 x Kenya,No
uniqueid_6334 x Kenya,No
uniqueid_8045 x Kenya,No
uniqueid_6776 x Kenya,Yes
uniqueid_6869 x Kenya,No
uniqueid_7157 x Kenya,No
uniqueid_7452 x Kenya,No
uniqueid_8242 x Kenya,No
uniqueid_6876 x Kenya,No
uniqueid_7527 x Kenya,No
uniqueid_7751 x Kenya,No
uniqueid_7381 x Kenya,No
uniqueid_7594 x Kenya,No
uniqueid_7942 x Kenya,No
uniqueid_7017 x Kenya,No
uniqueid_7203 x Kenya,No
uniqueid_6816 x Kenya,No
uniqueid_7233 x Kenya,No
uniqueid_7329 x Kenya,No
uniqueid_7521 x Kenya,No
uniqueid_6942 x Kenya,Yes
uniqueid_8403 x Kenya,No
uniqueid_7409 x Kenya,Yes
uniqueid_8161 x Kenya,No
uniqueid_7725 x Kenya,Yes
uniqueid_8324 x Kenya,No
uniqueid_7316 x Kenya,No
uniqueid_6181 x Kenya,Yes
uniqueid_8516 x Kenya,Yes
